"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"V1",6.55910133911745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143204199376582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774490965981651,0,0,0,0,-0.249795228465671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643310081681401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770909443098852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313148121055393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V2",0,8.96164201127734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129566982411798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.147529760810217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V3",0,0,7.17452915361853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38162501404879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299921455339614,0,0,0,0,0,0,-0.0710668511938075,0,0,0,0,0.0779270050677266,0,0,0,0,0,0,0,0,0,0,-0.223983605751869,0,0,0,0.339934363592351,0,0,0,0,0,0,0,0,0,0,0,-0.422697564619589,0,0,0,0,0,0,0,0,0,-0.525069113570767,-0.401563020586678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345776948521349,0,0,0,0,0,0.0325025589642677,0,0,0,0,0,0,-0.363212836454574,0,0,0,0,0,0,0.0163913654268956,0.217279152270057,0,0,0,0,0,0,0,-0.0820661484441908,0,0,0,0,0,0
"V4",0,0,0,10.1009928516247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V5",0,0,0,0,6.84454000842365,0,0,-0.957386047451988,0,0,0,0,0,0,0,0,0,-0.182805153388422,0,-0.372608859425961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.625577271730754,0,0,0,-0.295420687585972,0,-0.158366887268782,0,0,0,0,0,0,0,-0.308262132250193,0,-0.0650032801494889,-0.35568285851849,-0.669198915896035,0,0,0,0,0,0.0542682970707591,0.169465772138199,0,0.274830223638247,0,0,0,0,0.751802199001858,0.279519088611131,0,0,-0.128194215054936,-1.11636999233898,-0.501069427197813,0,0,0,0,0,0,0,-0.234814533775196,0,0,0,0.397930025561625,0,0,0,0,0,0.753895789987895,0.423570499318408,-0.420383296204522,0,0.581614363605442,0,0,0,0,0,0.453207198817927,0,0,-0.233590646352235,0,0,0,0,0,0,0,0,-0.184602931632678,0,-0.427690477384298,0,0,0,0.345846934962931,0,0,-0.406304438647618,0.249103593719656,0,0,0,0,0,0,0,-0.293387467739137,0,0,0,0,0.102130006228684,0,0,0,0,0,0,0,-0.160310646955077,0,0,0,0
"V6",0,0,0,0,0,8.3625885101753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21868330213432,0.0010797225551972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367365977803303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.488285504093879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349114756378248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V7",0,0,0,0,0,0,9.20078387022696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301286477389865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.469771775632794,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.399522889248383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151909337036971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V8",0,0,0,0,-0.957386047451988,0,0,6.9473891838613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375145609909094,0,0,0,-0.533282338619382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.495782926925385,0,0,0,0,-0.0274674509089576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376929151573969,0,0,0,0,0,0,0,-0.406379556693362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0,0,0,7.95011893404138,0,0,0,0,0,0,0,0,0,0,-0.202140810308094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.332066504115422,-0.23231900571177,0,0,-0.941015960467105,-0.020549115051193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0890829726366126,-0.397565660424269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371121110825489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153943722203776,0,0,-0.0402860702949804,0,0,0,0,0,0,0,1.00506088427457,0,0,0,0,0,0,0,-0.453287680106337,0,0,0,0,0,0
"V10",0,0,0,0,0,0,0,0,0,6.76729078320176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863536997478831,0.128573468366799,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.645564047609314,0.0374589307496012,0,0,0,0,0,0,0,-0.628390546476868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726243846172041,0,0,0,0,-0.30140095090841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198621816334904,0,0,0,0.282548312152051,0,0,0,0,0,-0.119948129461369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111710128954886,0,0,0,0,0,0,0,-0.746744233466039,0,0,0.375532491403115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
